episode,time,step,time1,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal,,,,,
48,48,2,2700,0,10,-2.997,12.21454638,9.030334799,13.58337993,-17.982,0,3.309905345,-735.7935021,TRUE,,,,,
49,49,15,14400,0,10,-2.997,13.86244969,9.279420782,12.31131013,-5.994,0,3.253035092,-740.5387728,TRUE,,,,,
50,50,18,17100,0,10,-2.997,13.5034926,8.884664783,11.92730633,0,0,3.378658502,-752.4330131,TRUE,,,,,
51,51,2,2700,0,10,-2.997,16.00228206,9.825452507,11.26475476,-17.982,0,2.976403957,-758.396237,TRUE,,,,,
52,52,25,23400,0,10,-2.997,14.38944429,9.781100224,12.81183584,29.97,0,3.075041587,-770.7204769,TRUE,,,,,
53,53,3,3600,0,10,-2.997,13.45245782,9.992728333,14.04608883,-11.988,0,3.020531514,-779.9138382,TRUE,,,,,
54,54,30,27900,0,10,-2.997,14.33904251,9.735605153,12.76102848,47.952,0,3.092713055,-776.0744311,TRUE,,,,,
55,55,19,18000,0,10,-2.997,13.20639497,8.600739778,11.61581974,11.988,0,3.477827248,-800.6844173,TRUE,,,,,
56,56,16,15300,0,10,-2.997,14.44018006,9.843374753,12.87042339,11.988,0,3.055516132,-810.0825226,TRUE,,,,,
57,57,9,9000,0,10,-2.997,14.33783396,9.9916451,13.16170302,-11.988,0,3.023427453,-827.0842972,TRUE,,,,,
58,58,3,3600,0,10,-2.997,13.99657989,8.764794103,11.23989055,-23.976,0,3.396333801,-836.8258469,TRUE,,,,,
59,59,15,14400,0,10,-2.997,13.26526658,8.909148183,11.70736385,5.994,0,3.441846201,-859.7308994,TRUE,,,,,
60,60,17,16200,0,10,-2.997,14.55325635,9.953148579,12.98237596,23.976,0,3.015508312,-875.0184126,TRUE,,,,,
61,61,500,450900,0,10,2.997,21.50294555,24.62845175,19.92483594,2229.768,2,-0.155295028,-588.6263481,TRUE,,,,,
62,62,500,450900,0,10,2.997,21.31305166,24.45750096,19.73494205,2193.804,2,-0.128086552,-220.4802751,TRUE,,,,,
63,63,500,450900,0,10,2.997,21.46779876,24.59257578,19.88968915,2175.822,2,-0.153842668,95.61796798,TRUE,,,,,
64,64,500,450900,0,10,0,20.92954372,21.06884642,19.35143412,2163.834,1,-0.375716603,402.2037318,TRUE,,,,,
65,65,500,450900,0,10,2.997,21.40408677,24.55634056,19.82597717,2133.864,2,-0.125445279,724.4024174,TRUE,,,,,
66,66,500,450900,0,10,2.997,20.78734179,23.89147847,19.20923219,2175.822,2,-0.156601588,1081.39069,TRUE,,,,,
67,67,500,450900,0,10,2.997,21.46713247,24.61973165,19.88902287,2163.834,2,-0.128669304,1425.458276,TRUE,,,,,
68,68,1,1800,0,10,-2.997,12.48972718,9.100521745,13.17853036,-11.988,0,3.334549433,1419.265807,TRUE,,,,,
69,69,500,450900,0,10,2.997,21.58155895,24.73168694,20.00344935,2193.804,2,-0.138316348,1746.589474,TRUE,,,,,
70,70,500,450900,0,10,-2.997,21.57652175,18.70954375,19.99841215,2163.834,0,-0.158772133,2080.402807,TRUE,,,,,
71,71,500,450900,0,10,2.997,20.97366538,23.47104353,19.39555578,2145.852,2,-1.225732821,2422.319324,TRUE,,,,,
72,72,500,450900,0,10,2.997,20.0126967,22.33028634,18.4345871,2151.846,2,-1.050047975,2780.670402,TRUE,,,,,
73,73,500,450900,0,10,2.997,20.83755234,23.94280746,19.25944274,2181.816,2,-0.155178973,3118.022545,TRUE,,,,,
74,74,500,450900,0,10,2.997,20.88489925,23.88859757,19.30678965,2157.84,2,-0.256671116,3449.376576,TRUE,,,,,
75,75,500,450900,0,10,2.997,21.23194876,24.24298618,19.65383916,2169.828,2,-0.251383306,3765.545591,TRUE,,,,,
76,76,500,450900,0,10,2.997,20.31595105,23.30736465,18.73784144,2169.828,2,-0.956190878,4113.670315,TRUE,,,,,
77,77,500,450900,0,10,2.997,20.9553223,24.06306368,19.37721269,2175.822,2,-0.152974012,4454.234302,TRUE,,,,,
78,78,500,450900,0,10,0,21.26122353,20.76773283,19.68311393,2169.828,1,-2.25,4787.97657,TRUE,,,,,
79,79,500,450900,0,10,2.997,20.91653391,23.28238105,19.3384243,2163.834,2,-2,5133.975043,TRUE,,,,,
80,80,500,450900,0,10,2.997,20.84413722,23.84697453,19.26602761,2163.834,2,-0.258235198,5469.821608,TRUE,,,,,
81,81,500,450900,0,10,2.997,20.69507458,23.66694114,19.11696498,2187.81,2,-1.036373292,5809.924012,TRUE,,,,,
82,82,500,450900,0,10,0,21.58082291,21.73855179,20.0027133,2163.834,1,-0.384149893,6165.272488,TRUE,,,,,
83,83,500,450900,0,10,2.997,20.79535615,23.76932753,19.21724655,2205.792,2,-0.290157549,6518.176525,TRUE,,,,,
84,84,0,900,0,10,-2.997,13.41318503,9.26290156,10.82402227,-5.994,0,3.48885651,6514.687669,TRUE,,,,,
85,85,500,450900,0,10,0,21.74965539,21.91123248,20.17154578,2175.822,1,-0.394224054,6854.62241,TRUE,,,,,
86,86,500,450900,0,10,2.997,21.61643213,24.76728626,20.03832253,2169.828,2,-0.140202252,7183.036648,TRUE,,,,,
87,87,1,1800,0,10,-2.997,16.06804235,9.946810314,11.74569223,-11.988,0,2.891314459,7178.512812,TRUE,,,,,
88,88,500,450900,0,10,2.997,21.57181293,24.69873816,19.99370333,2181.816,2,-0.15853184,7533.668772,TRUE,,,,,
89,89,500,450900,0,10,2.997,21.31881961,24.46207416,19.74071,2181.816,2,-0.129424682,7880.584318,TRUE,,,,,
90,90,500,450900,0,10,2.997,20.82359868,23.31758538,19.24548908,2205.792,2,-1.188764225,8204.270287,TRUE,,,,,
91,91,500,450900,0,10,2.997,21.36584793,24.51114092,19.78773833,2175.822,2,-0.129772325,8532.034594,TRUE,,,,,
92,92,500,450900,0,10,2.997,21.36863732,24.38387747,19.79052771,2193.804,2,-0.251907393,8878.06103,TRUE,,,,,
93,93,500,450900,0,10,2.997,21.42302963,24.56952979,19.84492003,2175.822,2,-0.131643168,9203.336781,TRUE,,,,,
94,94,500,450900,0,10,0,21.3533157,21.47862772,19.77520609,2145.852,1,-0.400085819,9520.423582,TRUE,,,,,
95,95,0,900,0,10,-2.997,13.58593657,9.609387904,12.15615161,-5.994,0,3.293556088,9517.130026,TRUE,,,,,
96,96,500,450900,0,10,2.997,21.44790476,24.57221424,19.86979516,2157.84,2,-0.153128082,9846.884167,TRUE,,,,,
97,97,500,450900,0,10,2.997,20.36818252,23.33286429,18.79007292,2151.846,2,-0.972211824,10184.6068,TRUE,,,,,
98,98,0,900,0,10,-2.997,19.92482308,10.45969625,9.718422605,-5.994,0,3.042943774,10181.56385,TRUE,,,,,
99,99,500,450900,0,10,2.997,21.7650011,24.91900177,20.1868915,2193.804,2,-0.149691457,10508.29413,TRUE,,,,,
100,100,500,450900,0,10,2.997,20.86601313,23.33822435,19.28790353,2193.804,2,-1.205568546,10896.17201,TRUE,,,,,
101,101,500,450900,0,10,2.997,21.15540104,23.66255897,19.57729144,2169.828,2,-2,11263.65943,TRUE,,,,,
102,102,500,450900,0,10,0,21.70362898,21.72889357,20.12551938,2187.81,1,-1.255826514,11587.6942,TRUE,,,,,
103,103,1,1800,0,10,-2.997,12.11143465,9.686277065,14.8771105,-11.988,0,3.068227091,11582.21986,TRUE,,,,,
104,104,500,450900,0,10,2.997,21.08519382,23.59091713,19.50708422,2187.81,2,-2,11943.70782,TRUE,,,,,
105,105,500,450900,0,10,2.997,21.02781866,24.03586304,19.44970906,2199.798,2,-0.251426593,12277.1833,TRUE,,,,,
106,106,500,450900,0,10,0,21.95438271,22.12132458,20.37627311,2181.816,1,-1.125583752,12634.87564,TRUE,,,,,
107,107,500,450900,0,10,0,21.6672487,21.82212796,20.08913909,2199.798,1,-0.393215872,12975.41002,TRUE,,,,,
108,108,500,450900,0,10,0,21.74744427,21.90891407,20.16933467,2175.822,1,-0.394122211,13297.62441,TRUE,,,,,
109,109,500,450900,0,10,2.997,21.64379075,24.79517479,20.06568115,2175.822,2,-0.141809265,13620.00521,TRUE,,,,,
110,110,5,5400,0,10,-2.997,12.34663432,8.96175049,12.00785841,-17.982,0,3.519065819,13604.16406,TRUE,,,,,
111,111,500,450900,0,10,2.997,21.10908525,23.61427759,19.53097564,2187.81,2,-2,13934.3529,TRUE,,,,,
112,112,500,450900,0,10,2.997,21.09349335,24.21008463,19.51538375,2193.804,2,-0.14658332,14272.39194,TRUE,,,,,
113,113,1,1800,0,10,-2.997,12.74954746,8.802860066,12.68839186,-11.988,0,3.384715955,14266.13853,TRUE,,,,,
114,114,500,450900,0,10,0,21.50319653,21.63167273,19.92508693,2199.798,1,-0.405337872,14596.93476,TRUE,,,,,
115,115,500,450900,0,10,2.997,21.53043481,24.54904294,19.9523252,2199.798,2,-0.256999378,14938.92262,TRUE,,,,,
116,116,500,450900,0,10,0,21.73800978,21.89438292,20.15990018,2181.816,1,-0.397831578,15273.58294,TRUE,,,,,
117,117,500,450900,0,10,2.997,20.68429931,23.18051101,19.10618971,2199.798,2,-1.154438972,15623.21377,TRUE,,,,,
118,118,500,450900,0,10,2.997,21.05688454,23.53312801,19.47877494,2205.792,2,-2,15972.03453,TRUE,,,,,
119,119,500,450900,0,10,0,21.68303634,21.83829656,20.10492673,2163.834,1,-0.394154267,16302.17649,TRUE,,,,,
120,120,500,450900,0,10,2.997,21.47058354,24.61808716,19.89247393,2205.792,2,-0.133449476,16628.3645,TRUE,,,,,
121,121,500,450900,0,10,0,21.35310087,21.36479888,19.77499126,2193.804,1,-0.507668391,16977.75725,TRUE,,,,,
122,122,500,450900,0,10,2.997,21.97053024,25.13375733,20.39242064,2193.804,2,-0.873322184,17330.36704,TRUE,,,,,
123,123,500,450900,0,10,2.997,20.67280674,23.13472787,19.09469714,2205.792,2,-1.161029851,17702.85163,TRUE,,,,,
124,124,500,450900,0,10,0,21.66622956,21.69048124,20.08811996,2205.792,1,-1.263515838,18066.5188,TRUE,,,,,
125,125,500,450900,0,10,2.997,21.62954544,24.75768947,20.05143584,2217.78,2,-0.161617344,18440.35937,TRUE,,,,,
126,126,500,450900,0,10,2.997,20.79469935,23.28807605,19.21658975,2175.822,2,-1.181824663,18806.16673,TRUE,,,,,
127,127,500,450900,0,10,2.997,21.66450795,24.82127395,20.08639835,2247.75,2,-0.138635187,19200.40992,TRUE,,,,,
128,128,500,450900,0,10,0,21.27409804,21.39751445,19.69598844,2211.786,1,-0.398443985,19562.23034,TRUE,,,,,
129,129,500,450900,0,10,2.997,21.45840905,23.97202385,19.88029945,2229.768,2,-2,19960.31616,TRUE,,,,,
130,130,500,450900,0,10,2.997,21.90884586,25.04288635,20.33073626,2199.798,2,-0.900533916,20324.40918,TRUE,,,,,
131,131,500,450900,0,10,2.997,21.13087879,24.13488282,19.55276919,2223.774,2,-0.256369343,20698.34843,TRUE,,,,,
132,132,500,450900,0,10,2.997,21.00408387,24.00535325,19.42597427,2205.792,2,-0.258302204,21072.22912,TRUE,,,,,
133,133,500,450900,0,10,2.997,20.92998554,23.29610647,19.35187594,2229.768,2,-2,21444.46658,TRUE,,,,,
134,134,500,450900,0,10,2.997,21.33098138,24.34515499,19.75287178,2235.762,2,-0.251450242,21887.13846,TRUE,,,,,
135,135,500,450900,0,10,2.997,21.31289892,23.81748635,19.73478931,2235.762,2,-2,22321.07215,TRUE,,,,,
136,136,500,450900,0,10,0,22.1316306,22.30126888,20.55352099,2223.774,1,-1.095106071,22757.99258,TRUE,,,,,
137,137,500,450900,0,10,2.997,21.04403543,24.0510934,19.46592583,2217.78,2,-0.252486768,23172.65697,TRUE,,,,,
138,138,500,450900,0,10,2.997,20.80667026,23.29925395,19.22856066,2211.786,2,-1.184985922,23594.5136,TRUE,,,,,
139,139,500,450900,0,10,2.997,21.41682881,24.43281488,19.8387192,2217.78,2,-0.253342604,24025.07642,TRUE,,,,,
140,140,500,450900,0,10,0,22.33832425,22.50743133,20.76021465,2241.756,1,-1.062543818,24466.96038,TRUE,,,,,
141,141,500,450900,0,10,2.997,21.31615633,23.69038211,19.73804673,2247.75,2,-2,24884.3521,TRUE,,,,,
142,142,500,450900,0,10,2.997,20.89155151,23.25659014,19.31344191,2199.798,2,-1.243838348,25309.64465,TRUE,,,,,
143,143,500,450900,0,10,2.997,22.08376821,24.61080888,20.5056586,2217.78,2,-2,25779.29747,TRUE,,,,,
144,144,500,450900,0,10,2.997,22.69539001,25.86902224,21.11728041,2283.714,2,-0.753928982,26296.12645,TRUE,,,,,
145,145,1,1800,0,10,-2.997,12.45365855,8.275488992,11.25514133,-11.988,0,3.646279362,26289.26817,TRUE,,,,,
146,146,500,450900,0,10,2.997,22.72083565,25.89501524,21.14272604,2313.684,2,-0.749851081,26751.92894,TRUE,,,,,
147,147,500,450900,0,10,0,21.98543554,22.14708938,20.40732594,2265.732,1,-1.123474699,27243.2709,TRUE,,,,,
148,148,500,450900,0,10,0,22.18766338,22.35820348,20.60955377,2229.768,1,-1.085609873,27719.84093,TRUE,,,,,
149,149,500,450900,0,10,2.997,21.78830177,24.91985734,20.21019217,2259.738,2,-0.172008802,28201.81043,TRUE,,,,,
150,150,500,450900,0,10,2.997,21.79756688,24.92931542,20.21945728,2265.732,2,-0.920907557,28699.56638,TRUE,,,,,
151,151,500,450900,0,10,2.997,21.91324094,24.93970741,20.33513133,2271.726,2,-0.964703486,29211.75216,TRUE,,,,,
152,152,500,450900,0,10,2.997,22.57183669,25.61220694,20.99372709,2307.69,2,-0.844592799,29703.06945,TRUE,,,,,
153,153,500,450900,0,10,2.997,22.46817348,25.61408195,20.89006388,2301.696,2,-0.803183623,30198.60693,TRUE,,,,,
154,154,500,450900,0,10,2.997,21.31106031,24.42603066,19.7329507,2277.72,2,-0.154957696,30727.04902,TRUE,,,,,
155,155,500,450900,0,10,0,22.50014704,22.67266764,20.92203743,2295.702,1,-1.035627227,31229.55212,TRUE,,,,,
156,156,500,450900,0,10,0,22.56216399,22.71304449,20.98405439,2295.702,1,-1.037603427,31751.98237,TRUE,,,,,
157,157,500,450900,0,10,2.997,21.65410012,24.67503526,20.07599052,2319.678,2,-0.263321917,32247.92027,TRUE,,,,,
158,158,500,450900,0,10,2.997,21.82139489,24.94736225,20.24328529,2319.678,2,-0.920248915,32703.05334,TRUE,,,,,
159,159,500,450900,0,10,2.997,22.31546213,25.35070313,20.73735253,2313.684,2,-0.889638779,33211.05656,TRUE,,,,,
160,160,500,450900,0,10,2.997,21.35372483,23.72851993,19.77561522,2307.69,2,-2,33740.8243,TRUE,,,,,
161,161,500,450900,0,10,2.997,22.6477669,25.82039376,21.0696573,2331.666,2,-0.7615872,34252.53677,TRUE,,,,,
162,162,500,450900,0,10,0,22.16686397,21.6984351,20.58875437,2313.684,1,-2.25,34764.8833,TRUE,,,,,
163,163,500,450900,0,10,0,22.72751828,22.91099514,21.14940867,2343.654,1,-0.995617575,35251.33844,TRUE,,,,,
164,164,500,450900,0,10,2.997,21.75394084,24.77725463,20.17583123,2337.66,2,-0.995776324,35770.57773,TRUE,,,,,
165,165,500,450900,0,10,0,22.64822133,22.82875528,21.07011173,2307.69,1,-1.008968616,36309.81415,TRUE,,,,,
166,166,500,450900,0,10,0,22.37287759,22.51977162,20.79476799,2319.678,1,-1.06919826,36844.25433,TRUE,,,,,
167,167,3,3600,0,10,-2.997,14.68120067,8.783740096,10.6118729,-23.976,0,3.356178933,36833.41483,TRUE,,,,,
168,168,500,450900,0,10,0,22.47751009,22.65543809,20.89940049,2313.684,1,-1.036228556,37377.55606,TRUE,,,,,
169,169,3,3600,0,10,-2.997,15.96104245,9.575264788,10.86774692,-23.976,0,3.041991136,37367.0297,TRUE,,,,,
170,170,500,450900,0,10,0,23.11690748,23.30866539,21.53879788,2313.684,1,-0.935038068,37899.85497,TRUE,,,,,
