episode,step,time,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main-temperature,attic_temperature,heat_added,action,reward,total_reward,terminal
38,0,900,"[0.0, 10.0, -2.997, 14.522112018518214, 9.033071110815802, 11.338439771214553]",,,,,TRUE,-5.994,0,3.283306279,-603.7418513,TRUE
39,37,34200,"[0.0, 10.0, -2.997, 14.142157192114418, 9.795503605840192, 12.564049679163821]",,,,,TRUE,77.922,0,3.149643922,-601.2400919,TRUE
40,9,9000,"[0.0, 10.0, -2.997, 13.210044641181259, 8.509945197901407, 11.248290404459583]",,,,,TRUE,-29.97,0,3.529260257,-619.5899036,TRUE
41,5,5400,"[0.0, 10.0, -2.997, 13.860232295652615, 9.295582069840167, 12.317819332438413]",,,,,TRUE,-11.988,0,3.251836867,-634.8309734,TRUE
42,35,32400,"[0.0, 10.0, -2.997, 13.47083677619217, 8.836338348726137, 11.892737106944171]",,,,,TRUE,77.922,0,3.390369553,-664.2302555,TRUE
43,8,8100,"[0.0, 10.0, -2.997, 13.981906166567672, 9.10192628232788, 11.889113769690312]",,,,,TRUE,-17.982,0,3.299347303,-677.2044925,TRUE
44,5,5400,"[0.0, 10.0, -2.997, 14.442813863495338, 9.28238362356565, 11.794360188383115]",,,,,TRUE,-35.964,0,3.227986852,-688.9371432,TRUE
45,14,13500,"[0.0, 10.0, -2.997, 14.073817592166051, 9.46988521892332, 12.5300696842467]",,,,,TRUE,5.994,0,3.180215232,-695.5908883,TRUE
46,12,11700,"[0.0, 10.0, -2.997, 13.49986192360795, 9.12187839028931, 12.043208857837135]",,,,,TRUE,-5.994,0,3.352692644,-717.5219586,TRUE
47,8,8100,"[0.0, 10.0, -2.997, 14.192698862712316, 9.782414527939462, 13.010677519369464]",,,,,TRUE,-11.988,0,3.078060773,-728.2053305,TRUE
48,2,2700,"[0.0, 10.0, -2.997, 12.2145463773373, 9.030334799344745, 13.583379925789899]",,,,,TRUE,-17.982,0,3.309905345,-735.7935021,TRUE
49,15,14400,"[0.0, 10.0, -2.997, 13.862449689786986, 9.279420782356851, 12.311310125576261]",,,,,TRUE,-5.994,0,3.253035092,-740.5387728,TRUE
50,18,17100,"[0.0, 10.0, -2.997, 13.503492597739154, 8.884664783228253, 11.927306330090062]",,,,,TRUE,0,0,3.378658502,-752.4330131,TRUE
51,2,2700,"[0.0, 10.0, -2.997, 16.00228206395071, 9.825452506910006, 11.264754760500162]",,,,,TRUE,-17.982,0,2.976403957,-758.396237,TRUE
52,25,23400,"[0.0, 10.0, -2.997, 14.389444286936559, 9.781100224251478, 12.811835843472988]",,,,,TRUE,29.97,0,3.075041587,-770.7204769,TRUE
53,3,3600,"[0.0, 10.0, -2.997, 13.452457821961668, 9.99272833276908, 14.046088834079828]",,,,,TRUE,-11.988,0,3.020531514,-779.9138382,TRUE
54,30,27900,"[0.0, 10.0, -2.997, 14.339042508259332, 9.735605153295122, 12.76102848144297]",,,,,TRUE,47.952,0,3.092713055,-776.0744311,TRUE
55,19,18000,"[0.0, 10.0, -2.997, 13.206394973274696, 8.600739777739273, 11.615819740984747]",,,,,TRUE,11.988,0,3.477827248,-800.6844173,TRUE
56,16,15300,"[0.0, 10.0, -2.997, 14.440180058655077, 9.843374752914777, 12.870423388236656]",,,,,TRUE,11.988,0,3.055516132,-810.0825226,TRUE
57,9,9000,"[0.0, 10.0, -2.997, 14.337833955765094, 9.991645100416951, 13.161703021170908]",,,,,TRUE,-11.988,0,3.023427453,-827.0842972,TRUE
58,3,3600,"[0.0, 10.0, -2.997, 13.996579887653006, 8.764794103211221, 11.23989054844967]",,,,,TRUE,-23.976,0,3.396333801,-836.8258469,TRUE
59,15,14400,"[0.0, 10.0, -2.997, 13.265266577439203, 8.909148182774711, 11.707363846962508]",,,,,TRUE,5.994,0,3.441846201,-859.7308994,TRUE
60,17,16200,"[0.0, 10.0, -2.997, 14.553256348171068, 9.953148578807781, 12.982375955161025]",,,,,TRUE,23.976,0,3.015508312,-875.0184126,TRUE
61,500,450900,"[0.0, 10.0, 2.997, 21.502945547136715, 24.628451753288147, 19.92483594355906]",,,,,TRUE,2229.768,2,-0.155295028,-588.6263481,TRUE
62,500,450900,"[0.0, 10.0, 2.997, 21.3130516580919, 24.457500963640157, 19.734942054514246]",,,,,TRUE,2193.804,2,-0.128086552,-220.4802751,TRUE
63,500,450900,"[0.0, 10.0, 2.997, 21.467798755368918, 24.59257577745823, 19.889689151791263]",,,,,TRUE,2175.822,2,-0.153842668,95.61796798,TRUE
64,500,450900,"[0.0, 10.0, 0.0, 20.929543721126585, 21.068846420230035, 19.35143411754893]",,,,,TRUE,2163.834,1,-0.375716603,402.2037318,TRUE
65,500,450900,"[0.0, 10.0, 2.997, 21.40408676880855, 24.55634055800145, 19.825977165230896]",,,,,TRUE,2133.864,2,-0.125445279,724.4024174,TRUE
66,500,450900,"[0.0, 10.0, 2.997, 20.78734178877876, 23.89147847429107, 19.209232185201106]",,,,,TRUE,2175.822,2,-0.156601588,1081.39069,TRUE
67,500,450900,"[0.0, 10.0, 2.997, 21.467132474265306, 24.619731651730802, 19.88902287068765]",,,,,TRUE,2163.834,2,-0.128669304,1425.458276,TRUE
68,1,1800,"[0.0, 10.0, -2.997, 12.48972717740393, 9.100521745264281, 13.178530363692808]",,,,,TRUE,-11.988,0,3.334549433,1419.265807,TRUE
69,500,450900,"[0.0, 10.0, 2.997, 21.581558952755714, 24.731686941615706, 20.00344934917806]",,,,,TRUE,2193.804,2,-0.138316348,1746.589474,TRUE
70,500,450900,"[0.0, 10.0, -2.997, 21.576521751723053, 18.70954375323491, 19.9984121481454]",,,,,TRUE,2163.834,0,-0.158772133,2080.402807,TRUE
71,500,450900,"[0.0, 10.0, 2.997, 20.973665379613777, 23.471043533720614, 19.395555776036122]",,,,,TRUE,2145.852,2,-1.225732821,2422.319324,TRUE
72,500,450900,"[0.0, 10.0, 2.997, 20.012696704418687, 22.330286340969426, 18.434587100841032]",,,,,TRUE,2151.846,2,-1.050047975,2780.670402,TRUE
73,500,450900,"[0.0, 10.0, 2.997, 20.83755234333931, 23.94280745896817, 19.259442739761656]",,,,,TRUE,2181.816,2,-0.155178973,3118.022545,TRUE
74,500,450900,"[0.0, 10.0, 2.997, 20.8848992486069, 23.88859756559371, 19.306789645029244]",,,,,TRUE,2157.84,2,-0.256671116,3449.376576,TRUE
75,500,450900,"[0.0, 10.0, 2.997, 21.231948761537947, 24.242986178559033, 19.65383915796029]",,,,,TRUE,2169.828,2,-0.251383306,3765.545591,TRUE
76,500,450900,"[0.0, 10.0, 2.997, 20.315951046256586, 23.307364653544205, 18.73784144267893]",,,,,TRUE,2169.828,2,-0.956190878,4113.670315,TRUE
77,500,450900,"[0.0, 10.0, 2.997, 20.955322295673298, 24.063063675929286, 19.377212692095643]",,,,,TRUE,2175.822,2,-0.152974012,4454.234302,TRUE
78,500,450900,"[0.0, 10.0, 0.0, 21.261223532827227, 20.767732827506734, 19.683113929249572]",,,,,TRUE,2169.828,1,-2.25,4787.97657,TRUE
79,500,450900,"[0.0, 10.0, 2.997, 20.91653390571399, 23.28238105405161, 19.338424302136335]",,,,,TRUE,2163.834,2,-2,5133.975043,TRUE
80,500,450900,"[0.0, 10.0, 2.997, 20.84413721539792, 23.84697453365798, 19.266027611820267]",,,,,TRUE,2163.834,2,-0.258235198,5469.821608,TRUE
81,500,450900,"[0.0, 10.0, 2.997, 20.695074582328616, 23.66694114286256, 19.11696497875096]",,,,,TRUE,2187.81,2,-1.036373292,5809.924012,TRUE
82,500,450900,"[0.0, 10.0, 0.0, 21.580822906130713, 21.73855178815628, 20.002713302553058]",,,,,TRUE,2163.834,1,-0.384149893,6165.272488,TRUE
83,500,450900,"[0.0, 10.0, 2.997, 20.795356152033513, 23.769327526322737, 19.217246548455858]",,,,,TRUE,2205.792,2,-0.290157549,6518.176525,TRUE
84,0,900,"[0.0, 10.0, -2.997, 13.41318502862053, 9.262901560453264, 10.824022271748547]",,,,,TRUE,-5.994,0,3.48885651,6514.687669,TRUE
85,500,450900,"[0.0, 10.0, 0.0, 21.749655386816954, 21.9112324798998, 20.1715457832393]",,,,,TRUE,2175.822,1,-0.394224054,6854.62241,TRUE
86,500,450900,"[0.0, 10.0, 2.997, 21.616432131346137, 24.767286256803693, 20.038322527768482]",,,,,TRUE,2169.828,2,-0.140202252,7183.036648,TRUE
87,1,1800,"[0.0, 10.0, -2.997, 16.068042345129737, 9.946810313654577, 11.745692234904675]",,,,,TRUE,-11.988,0,2.891314459,7178.512812,TRUE
88,500,450900,"[0.0, 10.0, 2.997, 21.57181293407746, 24.69873816313782, 19.993703330499805]",,,,,TRUE,2181.816,2,-0.15853184,7533.668772,TRUE
89,500,450900,"[0.0, 10.0, 2.997, 21.318819607544516, 24.46207415878088, 19.74071000396686]",,,,,TRUE,2181.816,2,-0.129424682,7880.584318,TRUE
90,500,450900,"[0.0, 10.0, 2.997, 20.823598679031626, 23.317585381975913, 19.24548907545397]",,,,,TRUE,2205.792,2,-1.188764225,8204.270287,TRUE
91,500,450900,"[0.0, 10.0, 2.997, 21.36584793265993, 24.511140924383902, 19.787738329082273]",,,,,TRUE,2175.822,2,-0.129772325,8532.034594,TRUE
92,500,450900,"[0.0, 10.0, 2.997, 21.368637317921703, 24.383877468023012, 19.790527714344048]",,,,,TRUE,2193.804,2,-0.251907393,8878.06103,TRUE
93,500,450900,"[0.0, 10.0, 2.997, 21.423029628822263, 24.569529794013754, 19.84492002524461]",,,,,TRUE,2175.822,2,-0.131643168,9203.336781,TRUE
94,500,450900,"[0.0, 10.0, 0.0, 21.353315697591423, 21.478627721180878, 19.775206094013768]",,,,,TRUE,2145.852,1,-0.400085819,9520.423582,TRUE
95,0,900,"[0.0, 10.0, -2.997, 13.585936571519836, 9.60938790373531, 12.156151605696746]",,,,,TRUE,-5.994,0,3.293556088,9517.130026,TRUE
96,500,450900,"[0.0, 10.0, 2.997, 21.44790476242091, 24.57221423628079, 19.869795158843257]",,,,,TRUE,2157.84,2,-0.153128082,9846.884167,TRUE
97,500,450900,"[0.0, 10.0, 2.997, 20.368182522613278, 23.33286429023122, 18.790072919035623]",,,,,TRUE,2151.846,2,-0.972211824,10184.6068,TRUE
98,0,900,"[0.0, 10.0, -2.997, 19.924823080470432, 10.45969625488619, 9.718422605173144]",,,,,TRUE,-5.994,0,3.042943774,10181.56385,TRUE
99,500,450900,"[0.0, 10.0, 2.997, 21.76500110210868, 24.919001772500657, 20.186891498531025]",,,,,TRUE,2193.804,2,-0.149691457,10508.29413,TRUE
100,500,450900,"[0.0, 10.0, 2.997, 20.866013133765215, 23.338224347609955, 19.28790353018756]",,,,,TRUE,2193.804,2,-1.205568546,10896.17201,TRUE
101,500,450900,"[0.0, 10.0, 2.997, 21.155401043597738, 23.662558970889958, 19.577291440020083]",,,,,TRUE,2169.828,2,-2,11263.65943,TRUE
102,500,450900,"[0.0, 10.0, 0.0, 21.70362898153689, 21.72889357438848, 20.125519377959236]",,,,,TRUE,2187.81,1,-1.255826514,11587.6942,TRUE
103,1,1800,"[0.0, 10.0, -2.997, 12.111434652544723, 9.686277064639706, 14.877110498889305]",,,,,TRUE,-11.988,0,3.068227091,11582.21986,TRUE
104,500,450900,"[0.0, 10.0, 2.997, 21.085193822155627, 23.5909171341371, 19.507084218577972]",,,,,TRUE,2187.81,2,-2,11943.70782,TRUE
105,500,450900,"[0.0, 10.0, 2.997, 21.02781866093475, 24.035863041641132, 19.449709057357094]",,,,,TRUE,2199.798,2,-0.251426593,12277.1833,TRUE
106,500,450900,"[0.0, 10.0, 0.0, 21.954382714594846, 22.121324580320007, 20.37627311101719]",,,,,TRUE,2181.816,1,-1.125583752,12634.87564,TRUE
107,500,450900,"[0.0, 10.0, 0.0, 21.667248697677973, 21.822127960665703, 20.089139094100318]",,,,,TRUE,2199.798,1,-0.393215872,12975.41002,TRUE
108,500,450900,"[0.0, 10.0, 0.0, 21.747444273979546, 21.90891406877419, 20.16933467040189]",,,,,TRUE,2175.822,1,-0.394122211,13297.62441,TRUE
109,500,450900,"[0.0, 10.0, 2.997, 21.643790754759074, 24.79517479273259, 20.06568115118142]",,,,,TRUE,2175.822,2,-0.141809265,13620.00521,TRUE
110,5,5400,"[0.0, 10.0, -2.997, 12.346634324140187, 8.961750490067601, 12.007858414453244]",,,,,TRUE,-17.982,0,3.519065819,13604.16406,TRUE
111,500,450900,"[0.0, 10.0, 2.997, 21.10908524727756, 23.61427759360987, 19.530975643699904]",,,,,TRUE,2187.81,2,-2,13934.3529,TRUE
112,500,450900,"[0.0, 10.0, 2.997, 21.09349335315182, 24.21008463150977, 19.515383749574166]",,,,,TRUE,2193.804,2,-0.14658332,14272.39194,TRUE
113,1,1800,"[0.0, 10.0, -2.997, 12.749547461764738, 8.802860066421324, 12.688391864944773]",,,,,TRUE,-11.988,0,3.384715955,14266.13853,TRUE
114,500,450900,"[0.0, 10.0, 0.0, 21.503196534941836, 21.631672725393816, 19.925086931364184]",,,,,TRUE,2199.798,1,-0.405337872,14596.93476,TRUE
115,500,450900,"[0.0, 10.0, 2.997, 21.530434806440663, 24.549042937582666, 19.95232520286301]",,,,,TRUE,2199.798,2,-0.256999378,14938.92262,TRUE
116,500,450900,"[0.0, 10.0, 0.0, 21.73800978343234, 21.89438292160071, 20.159900179854688]",,,,,TRUE,2181.816,1,-0.397831578,15273.58294,TRUE
117,500,450900,"[0.0, 10.0, 2.997, 20.68429931311248, 23.180511011991705, 19.106189709534824]",,,,,TRUE,2199.798,2,-1.154438972,15623.21377,TRUE
118,500,450900,"[0.0, 10.0, 2.997, 21.056884540023102, 23.533128011088987, 19.478774936445447]",,,,,TRUE,2205.792,2,-2,15972.03453,TRUE
119,500,450900,"[0.0, 10.0, 0.0, 21.683036336307374, 21.83829655653926, 20.10492673272972]",,,,,TRUE,2163.834,1,-0.394154267,16302.17649,TRUE
120,500,450900,"[0.0, 10.0, 2.997, 21.470583535015404, 24.618087160285473, 19.89247393143775]",,,,,TRUE,2205.792,2,-0.133449476,16628.3645,TRUE
121,500,450900,"[0.0, 10.0, 0.0, 21.353100865209143, 21.364798877290493, 19.774991261631488]",,,,,TRUE,2193.804,1,-0.507668391,16977.75725,TRUE
122,500,450900,"[0.0, 10.0, 2.997, 21.97053023999657, 25.13375732688447, 20.39242063641892]",,,,,TRUE,2193.804,2,-0.873322184,17330.36704,TRUE
123,500,450900,"[0.0, 10.0, 2.997, 20.672806740600326, 23.134727869540054, 19.09469713702267]",,,,,TRUE,2205.792,2,-1.161029851,17702.85163,TRUE
124,500,450900,"[0.0, 10.0, 0.0, 21.66622956309998, 21.690481244760615, 20.088119959522324]",,,,,TRUE,2205.792,1,-1.263515838,18066.5188,TRUE
125,500,450900,"[0.0, 10.0, 2.997, 21.62954544394934, 24.75768947364826, 20.051435840371685]",,,,,TRUE,2217.78,2,-0.161617344,18440.35937,TRUE
126,500,450900,"[0.0, 10.0, 2.997, 20.794699349501727, 23.288076052332507, 19.21658974592407]",,,,,TRUE,2175.822,2,-1.181824663,18806.16673,TRUE
127,500,450900,"[0.0, 10.0, 2.997, 21.664507950918342, 24.821273954365704, 20.086398347340687]",,,,,TRUE,2247.75,2,-0.138635187,19200.40992,TRUE
128,500,450900,"[0.0, 10.0, 0.0, 21.274098040033245, 21.39751445044564, 19.69598843645559]",,,,,TRUE,2211.786,1,-0.398443985,19562.23034,TRUE
129,500,450900,"[0.0, 10.0, 2.997, 21.458409050976712, 23.9720238477937, 19.880299447399057]",,,,,TRUE,2229.768,2,-2,19960.31616,TRUE
130,500,450900,"[0.0, 10.0, 2.997, 21.90884585875551, 25.042886351929482, 20.330736255177854]",,,,,TRUE,2199.798,2,-0.900533916,20324.40918,TRUE
131,500,450900,"[0.0, 10.0, 2.997, 21.13087879485074, 24.13488282009116, 19.552769191273086]",,,,,TRUE,2223.774,2,-0.256369343,20698.34843,TRUE
132,500,450900,"[0.0, 10.0, 2.997, 21.004083870240656, 24.005353245852724, 19.425974266663]",,,,,TRUE,2205.792,2,-0.258302204,21072.22912,TRUE
133,500,450900,"[0.0, 10.0, 2.997, 20.92998554348233, 23.29610647075119, 19.351875939904676]",,,,,TRUE,2229.768,2,-2,21444.46658,TRUE
134,500,450900,"[0.0, 10.0, 2.997, 21.33098138183791, 24.345154987041695, 19.752871778260253]",,,,,TRUE,2235.762,2,-0.251450242,21887.13846,TRUE
135,500,450900,"[0.0, 10.0, 2.997, 21.312898916744913, 23.817486349185963, 19.734789313167255]",,,,,TRUE,2235.762,2,-2,22321.07215,TRUE
136,500,450900,"[0.0, 10.0, 0.0, 22.131630597953283, 22.30126888460382, 20.553520994375628]",,,,,TRUE,2223.774,1,-1.095106071,22757.99258,TRUE
137,500,450900,"[0.0, 10.0, 2.997, 21.04403543248701, 24.05109340103148, 19.465925828909356]",,,,,TRUE,2217.78,2,-0.252486768,23172.65697,TRUE
138,500,450900,"[0.0, 10.0, 2.997, 20.806670264832675, 23.29925394552186, 19.228560661255017]",,,,,TRUE,2211.786,2,-1.184985922,23594.5136,TRUE
139,500,450900,"[0.0, 10.0, 2.997, 21.416828806483906, 24.432814877387084, 19.83871920290625]",,,,,TRUE,2217.78,2,-0.253342604,24025.07642,TRUE
140,500,450900,"[0.0, 10.0, 0.0, 22.338324248807073, 22.50743133268643, 20.760214645229418]",,,,,TRUE,2241.756,1,-1.062543818,24466.96038,TRUE
141,500,450900,"[0.0, 10.0, 2.997, 21.316156330652365, 23.690382114399533, 19.73804672707471]",,,,,TRUE,2247.75,2,-2,24884.3521,TRUE
142,500,450900,"[0.0, 10.0, 2.997, 20.89155151164493, 23.256590144839045, 19.313441908067276]",,,,,TRUE,2199.798,2,-1.243838348,25309.64465,TRUE
143,500,450900,"[0.0, 10.0, 2.997, 22.08376820500001, 24.610808882979338, 20.505658601422354]",,,,,TRUE,2217.78,2,-2,25779.29747,TRUE
144,500,450900,"[0.0, 10.0, 2.997, 22.69539001211281, 25.869022241275943, 21.117280408535155]",,,,,TRUE,2283.714,2,-0.753928982,26296.12645,TRUE
145,1,1800,"[0.0, 10.0, -2.997, 12.45365855406586, 8.275488992482536, 11.255141333256613]",,,,,TRUE,-11.988,0,3.646279362,26289.26817,TRUE
146,500,450900,"[0.0, 10.0, 2.997, 22.720835645851036, 25.895015242502136, 21.14272604227338]",,,,,TRUE,2313.684,2,-0.749851081,26751.92894,TRUE
147,500,450900,"[0.0, 10.0, 0.0, 21.985435540024607, 22.147089379381597, 20.407325936446952]",,,,,TRUE,2265.732,1,-1.123474699,27243.2709,TRUE
148,500,450900,"[0.0, 10.0, 0.0, 22.187663376409255, 22.358203480035144, 20.6095537728316]",,,,,TRUE,2229.768,1,-1.085609873,27719.84093,TRUE
149,500,450900,"[0.0, 10.0, 2.997, 21.78830176980126, 24.919857343622354, 20.210192166223607]",,,,,TRUE,2259.738,2,-0.172008802,28201.81043,TRUE
150,500,450900,"[0.0, 10.0, 2.997, 21.797566880547606, 24.92931541551064, 20.21945727696995]",,,,,TRUE,2265.732,2,-0.920907557,28699.56638,TRUE
151,500,450900,"[0.0, 10.0, 2.997, 21.91324093545264, 24.939707413870174, 20.33513133187499]",,,,,TRUE,2271.726,2,-0.964703486,29211.75216,TRUE
152,500,450900,"[0.0, 10.0, 2.997, 22.57183669460803, 25.612206943418588, 20.993727091030376]",,,,,TRUE,2307.69,2,-0.844592799,29703.06945,TRUE
153,500,450900,"[0.0, 10.0, 2.997, 22.468173479232878, 25.614081952861714, 20.890063875655223]",,,,,TRUE,2301.696,2,-0.803183623,30198.60693,TRUE
154,500,450900,"[0.0, 10.0, 2.997, 21.31106030634506, 24.426030660690902, 19.732950702767404]",,,,,TRUE,2277.72,2,-0.154957696,30727.04902,TRUE
155,500,450900,"[0.0, 10.0, 0.0, 22.500147038400144, 22.672667636902712, 20.92203743482249]",,,,,TRUE,2295.702,1,-1.035627227,31229.55212,TRUE
156,500,450900,"[0.0, 10.0, 0.0, 22.562163989801327, 22.713044491172607, 20.98405438622367]",,,,,TRUE,2295.702,1,-1.037603427,31751.98237,TRUE
157,500,450900,"[0.0, 10.0, 2.997, 21.654100122922188, 24.67503526297815, 20.075990519344533]",,,,,TRUE,2319.678,2,-0.263321917,32247.92027,TRUE
158,500,450900,"[0.0, 10.0, 2.997, 21.821394894231975, 24.947362252041064, 20.24328529065432]",,,,,TRUE,2319.678,2,-0.920248915,32703.05334,TRUE
159,500,450900,"[0.0, 10.0, 2.997, 22.31546213023717, 25.35070313073063, 20.737352526659514]",,,,,TRUE,2313.684,2,-0.889638779,33211.05656,TRUE
160,500,450900,"[0.0, 10.0, 2.997, 21.35372482736105, 23.728519930610066, 19.775615223783394]",,,,,TRUE,2307.69,2,-2,33740.8243,TRUE
161,500,450900,"[0.0, 10.0, 2.997, 22.647766904467893, 25.820393758982927, 21.069657300890242]",,,,,TRUE,2331.666,2,-0.7615872,34252.53677,TRUE
162,500,450900,"[0.0, 10.0, 0.0, 22.166863973120776, 21.69843509960657, 20.58875436954312]",,,,,TRUE,2313.684,1,-2.25,34764.8833,TRUE
163,500,450900,"[0.0, 10.0, 0.0, 22.727518275977665, 22.910995139792426, 21.14940867240001]",,,,,TRUE,2343.654,1,-0.995617575,35251.33844,TRUE
164,500,450900,"[0.0, 10.0, 2.997, 21.753940836054113, 24.777254628157536, 20.175831232476458]",,,,,TRUE,2337.66,2,-0.995776324,35770.57773,TRUE
