0,4,4500,0,10,0,22.4519000539218,22.2758298334403,20.2067566698318,11.988,1,5.25,41.75,True
1,24,22500,0,10,0,11.32871162783,10.3142674708332,9.75073056313568,23.976,1,-3.76728603586164,-86.8754036746703,True
2,10,9900,0,10,2.997,10.9627408000071,12.9575260425365,9.41267859783583,-5.994,2,-1.44592708207318,-152.427093781465,True
3,5,5400,0,10,0,21.3568594053617,21.1013274866235,19.5979019914549,-11.988,1,5.25,-132.691076836883,True
4,15,14400,0,10,2.997,12.7733242943004,15.3890717940631,11.165320725447,5.994,2,-3.50936126147405,-247.43134933236,True
5,2,2700,0,10,0,11.3438705516214,11.9453248240539,11.6279180041281,0,1,-3.40880725664477,-256.758417678801,True
6,8,8100,0,10,0,11.6882917247094,11.2952719977636,10.0996458009437,0,1,-2.25413530940265,-288.863828118488,True
7,26,24300,0,10,-2.997,11.6697225135655,7.67949461272102,10.0923254656255,5.994,0,-3.9145992308167,-440.197711237712,True
8,1,1800,0,10,2.997,20.4918245149231,20.5309564247275,13.7729725326699,11.988,2,7.69849384717948,-438.488291439335,True
9,2,2700,0,10,2.997,20.7293383796847,20.928295523361,16.1647013781947,5.994,2,5,-434.335311191735,True
10,1,1800,0,10,0,21.2070444228188,21.2794649685352,19.6543642681115,5.994,1,5.25,-407.585311191735,True
11,3,3600,0,10,0,9.6211953750351,8.73205945889286,9.60739333965219,-11.988,1,-2.5019614200579,-422.413537088228,True
12,7,7200,0,10,2.997,20.7340815657125,22.266600583589,18.6313883476207,17.982,2,5,-428.754941380737,True
13,3,3600,0,10,0,22.5603117136217,22.3089055648244,22.0499975012048,-11.988,1,5.25,-435.57736164595,True
14,23,21600,0,10,0,10.8488848739136,9.96728059979231,9.26859223716423,-5.994,1,-2.52736823376945,-527.641081846281,True
15,15,14400,0,10,2.997,10.6429718915575,12.6061210654597,9.04066545141595,-5.994,2,-1.47708269361054,-591.395039204132,True
16,1,1800,0,10,0,20.7944644820292,21.803186445277,22.1276258550239,5.994,1,5.25,-597.645039204132,True
17,11,10800,0,10,2.997,12.5724286887791,15.1942848549563,10.9296733671958,0,2,-3.57537938771895,-671.22259343002,True
18,4,4500,0,10,0,11.7611045900493,10.5507757732443,9.75784383695641,0,1,-3.69844084996589,-690.110987325862,True
19,1,1800,0,10,2.997,22.1712668049105,20.5195239436759,12.2589306788392,11.988,2,-9.00516905074057,-702.72832275506,True
20,26,24300,0,10,0,11.7025132832178,10.7037105417168,10.1248047745308,29.97,1,-3.65531038576248,-864.076292263625,True
21,27,25200,0,10,2.997,12.3110865359409,14.9665066386342,10.7338606085708,41.958,2,-3.64755651655543,-1009.70676342294,True
