episode,time,step,time1,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,,,,,,,,,,,,,,
22,22,4,4500,0,10,17.003,13.00902148,9.004142919,12.66376704,-23.976,0,3.343131964,-459.4196496,TRUE,,20,,,,,,,,,,,
23,23,11,10800,0,10,17.003,13.74214029,9.1103358,12.16014471,-17.982,0,3.300030069,-462.5359532,TRUE,,20,,,,,,,,,,,
24,24,3,3600,0,10,17.003,12.55363899,8.783805173,12.40609989,-17.982,0,3.454228837,-473.7154428,TRUE,,20,,,,,,,,,,,
25,25,8,8100,0,10,17.003,14.00271573,9.068638401,11.75872392,-23.976,0,3.31499467,-489.5768147,TRUE,,20,,,,,,,,,,,
26,26,6,6300,0,10,17.003,14.43755241,9.478923793,12.18394783,-23.976,0,3.168132712,-500.4209387,TRUE,,20,,,,,,,,,,,
27,27,11,10800,0,10,17.003,14.4135372,9.912778515,12.79300102,-17.982,0,3.068670845,-505.5240008,TRUE,,20,,,,,,,,,,,
28,28,17,16200,0,10,17.003,14.33131461,9.76879843,12.73487536,0,0,3.096658749,-515.2473042,TRUE,,20,,,,,,,,,,,
29,29,0,900,0,10,17.003,12.41362467,8.340487931,10.10079892,-5.994,0,3.768840127,-519.0161443,TRUE,,20,,,,,,,,,,,
30,30,8,8100,0,10,17.003,13.60741744,9.145190908,12.29447451,-23.976,0,3.300884434,-529.329655,TRUE,,20,,,,,,,,,,,
31,31,13,12600,0,10,17.003,14.12776911,9.525894723,12.58582166,0,0,3.161187674,-533.6682488,TRUE,,20,,,,,,,,,,,
32,32,1,1800,0,10,17.003,13.35925005,9.682204072,12.66390153,-11.988,0,3.255051481,-539.4779542,TRUE,,20,,,,,,,,,,,
33,33,4,4500,0,10,17.003,13.29624545,8.67081974,11.65683899,-11.988,0,3.45586159,-552.7815253,TRUE,,20,,,,,,,,,,,
34,34,7,7200,0,10,17.003,14.19491189,9.336498757,12.12603175,-17.982,0,3.222596091,-565.0777627,TRUE,,20,,,,,,,,,,,
35,35,17,16200,0,10,17.003,13.64112022,9.022421835,12.07155424,5.994,0,3.331786742,-577.6050122,TRUE,,20,,,,,,,,,,,
36,36,4,4500,0,10,17.003,13.63112826,8.773669923,11.61605966,-29.97,0,3.405384156,-588.6722788,TRUE,,20,,,,,,,,,,,
37,37,7,7200,0,10,17.003,13.32536108,8.920344,12.20183908,-23.976,0,3.366207021,-600.458545,TRUE,,20,,,,,,,,,,,
38,38,0,900,0,10,17.003,14.52211202,9.033071111,11.33843977,-5.994,0,3.283306279,-603.7418513,TRUE,,20,,,,,,,,,,,
39,39,37,34200,0,10,17.003,14.14215719,9.795503606,12.56404968,77.922,0,3.149643922,-601.2400919,TRUE,,20,,,,,,,,,,,
40,40,9,9000,0,10,17.003,13.21004464,8.509945198,11.2482904,-29.97,0,3.529260257,-619.5899036,TRUE,,20,,,,,,,,,,,
41,41,5,5400,0,10,17.003,13.8602323,9.29558207,12.31781933,-11.988,0,3.251836867,-634.8309734,TRUE,,20,,,,,,,,,,,
42,42,35,32400,0,10,17.003,13.47083678,8.836338349,11.89273711,77.922,0,3.390369553,-664.2302555,TRUE,,20,,,,,,,,,,,
43,43,8,8100,0,10,17.003,13.98190617,9.101926282,11.88911377,-17.982,0,3.299347303,-677.2044925,TRUE,,20,,,,,,,,,,,
44,44,5,5400,0,10,17.003,14.44281386,9.282383624,11.79436019,-35.964,0,3.227986852,-688.9371432,TRUE,,20,,,,,,,,,,,
45,45,14,13500,0,10,17.003,14.07381759,9.469885219,12.53006968,5.994,0,3.180215232,-695.5908883,TRUE,,20,,,,,,,,,,,
46,46,12,11700,0,10,17.003,13.49986192,9.12187839,12.04320886,-5.994,0,3.352692644,-717.5219586,TRUE,,20,,,,,,,,,,,
47,47,8,8100,0,10,17.003,14.19269886,9.782414528,13.01067752,-11.988,0,3.078060773,-728.2053305,TRUE,,20,,,,,,,,,,,
48,48,2,2700,0,10,17.003,12.21454638,9.030334799,13.58337993,-17.982,0,3.309905345,-735.7935021,TRUE,,20,,,,,,,,,,,
49,49,15,14400,0,10,17.003,13.86244969,9.279420782,12.31131013,-5.994,0,3.253035092,-740.5387728,TRUE,,20,,,,,,,,,,,
50,50,18,17100,0,10,17.003,13.5034926,8.884664783,11.92730633,0,0,3.378658502,-752.4330131,TRUE,,20,,,,,,,,,,,
51,51,2,2700,0,10,17.003,16.00228206,9.825452507,11.26475476,-17.982,0,2.976403957,-758.396237,TRUE,,20,,,,,,,,,,,
52,52,25,23400,0,10,17.003,14.38944429,9.781100224,12.81183584,29.97,0,3.075041587,-770.7204769,TRUE,,20,,,,,,,,,,,
53,53,3,3600,0,10,17.003,13.45245782,9.992728333,14.04608883,-11.988,0,3.020531514,-779.9138382,TRUE,,20,,,,,,,,,,,
54,54,30,27900,0,10,17.003,14.33904251,9.735605153,12.76102848,47.952,0,3.092713055,-776.0744311,TRUE,,20,,,,,,,,,,,
55,55,19,18000,0,10,17.003,13.20639497,8.600739778,11.61581974,11.988,0,3.477827248,-800.6844173,TRUE,,20,,,,,,,,,,,
56,56,16,15300,0,10,17.003,14.44018006,9.843374753,12.87042339,11.988,0,3.055516132,-810.0825226,TRUE,,20,,,,,,,,,,,
57,57,9,9000,0,10,17.003,14.33783396,9.9916451,13.16170302,-11.988,0,3.023427453,-827.0842972,TRUE,,20,,,,,,,,,,,
58,58,3,3600,0,10,17.003,13.99657989,8.764794103,11.23989055,-23.976,0,3.396333801,-836.8258469,TRUE,,20,,,,,,,,,,,
59,59,15,14400,0,10,17.003,13.26526658,8.909148183,11.70736385,5.994,0,3.441846201,-859.7308994,TRUE,,20,,,,,,,,,,,
60,60,17,16200,0,10,17.003,14.55325635,9.953148579,12.98237596,23.976,0,3.015508312,-875.0184126,TRUE,,20,,,,,,,,,,,
